Name,birth_year,death_year,religion_name,ceda_name,person_ceda_first_year,person_ceda_last_year
William Spicer Wood,,1902,Quaker,APS,1864,1868
William Spicer Wood,,1902,Quaker,ASL,1863,1872
William Spicer Wood,,1902,Quaker,AI,1863,1872
William Wilson,1785,1868,Quaker,APS,1838,1866
William Wilson,1785,1868,Quaker,ASL,1865,1867
James Wilson,,,Quaker,APS,1862,1868
James Wilson,,,Quaker,ASL,1865,1866
E T Wakefield,,,Quaker,APS,1853,1865
E T Wakefield,,,Quaker,ASL,1865,1869
E T Wakefield,,,Quaker,HOD,,
John Ross,,,Quaker,APS,1839,1853
John Ross,,,Quaker,HOD,,
J Robinson,,,Quaker,APS,1839,1841
J Robinson,,,Quaker,ASL,1865,1866
J Robinson,,,Quaker,HOD,,
William Horton Lloyd,,,Quaker,APS,1862,1863
William Horton Lloyd,,,Quaker,ESL,1844,1848
Joseph Lister,1827,1912,Quaker,APS,1851,1856
Joseph Lister,1827,1912,Quaker,ESL,1844,1848
Joseph Lister,1827,1912,Quaker,HOD,,
Jonathan Hutchinson,1828,1913,Quaker,APS,1857,1867
Jonathan Hutchinson,1828,1913,Quaker,ASL,1863,1872
Jonathan Hutchinson,1828,1913,Quaker,AI,1863,1872
William Holmes,,,Quaker,APS,1840,1868
William Holmes,,,Quaker,ASL,1865,1870
Thomas (1) Hodgkin,1798,1866,Quaker,QCA,1839,1848
Thomas (1) Hodgkin,1798,1866,Quaker,APS,1838,1867
Thomas (1) Hodgkin,1798,1866,Quaker,ESL,1844,1863
Thomas (1) Hodgkin,1798,1866,Quaker,HOD,,
Thomas (1) Hodgkin,1798,1866,Quaker,HOD,,
John Henry Gurney,1819,1890,Quaker,APS,1851,1861
John Henry Gurney,1819,1890,Quaker,ESL,1860,1868
George Stacey Gibson,1818,1883,Quaker,APS,1851,1864
George Stacey Gibson,1818,1883,Quaker,ASL,1864,1867
Charles Henry Fox,,,Quaker,APS,1838,1853
Charles Henry Fox,,,Quaker,ESL,1861,1872
Charles Henry Fox,,,Quaker,AI,1861,1872
William Fowler,,,Quaker,APS,1860,1868
William Fowler,,,Quaker,ESL,1851,1852
Robert Nicholas Fowler,1828,1891,Quaker,APS,1851,1868
Robert Nicholas Fowler,1828,1891,Quaker,ESL,1851,1872
Robert Nicholas Fowler,1828,1891,Quaker,AI,1851,1872
Robert Nicholas Fowler,1828,1891,Quaker,HOD,,
James T J Doyle,,,Quaker,APS,1839,1841
James T J Doyle,,,Quaker,ASL,1865,1869
David Dale,1829,1906,Quaker,APS,1864,1866
David Dale,1829,1906,Quaker,ESL,1860,1864
Henry Crowley,,1887,Quaker,APS,1851,1856
Henry Crowley,,1887,Quaker,ASL,1864,1872
Henry Crowley,,1887,Quaker,AI,1864,1872
x Collier,,,Quaker,APS,1860,1868
x Collier,,,Quaker,ESL,1844,1845
William Clay,1791,1869,Quaker,APS,1839,1869
William Clay,1791,1869,Quaker,ESL,1861,1869
Henry Christy,1810,1865,Quaker,APS,1840,1866
Henry Christy,1810,1865,Quaker,ESL,1854,1866
Henry Christy,1810,1865,Quaker,HOD,,
William Bull,1828,1902,Quaker,APS,1854,1855
William Bull,1828,1902,Quaker,ASL,1867,1872
William Bull,1828,1902,Quaker,AI,1867,1872
Antonio Brady,1811,1881,Quaker,APS,1861,1864
Antonio Brady,1811,1881,Quaker,ASL,1864,1872
Antonio Brady,1811,1881,Quaker,AI,1864,1872
James Bell,1818,1872,Quaker,APS,1847,1863
James Bell,1818,1872,Quaker,ESL,1852,1863
James (1) Backhouse,1794,1869,Quaker,APS,1851,1868
James (1) Backhouse,1794,1869,Quaker,ESL,1869,1870
James (1) Backhouse,1794,1869,Quaker,HOD,,
James (1) Backhouse,1794,1869,Quaker,HOD,,
Edward Backhouse,1808,1879,Quaker,APS,1839,1868
Edward Backhouse,1808,1879,Quaker,ESL,1870,1872
Edward Backhouse,1808,1879,Quaker,AI,1870,1872
S  Stafford Allen,1840,1870,Quaker,APS,1861,1868
S  Stafford Allen,1840,1870,Quaker,ASL,1863,1871
William Aldam,1813,1890,Quaker,APS,1838,1849
William Aldam,1813,1890,Quaker,ESL,1844,1849
Arthur Albright,,,Quaker,APS,1861,1868
Rachel Albright,,,Quaker,APS,1860,1868
William Albright,,,Quaker,APS,1852,1861
William Jun Aldam,,,Quaker,APS,1838,1852
Frederick Alexander,,,Quaker,APS,1839,1841
Samuel Allen,,,Quaker,APS,1851,1865
John Arch,,,Quaker,APS,1852,1855
R Arthington,,,Quaker,APS,1855,1863
R Jun Arthington,,,Quaker,APS,1860,1863
C Ashby,,,Quaker,APS,1860,1861
T Jun Ashby,,,Quaker,APS,1861,1863
Thomas Ashby,,,Quaker,APS,1861,1868
Thomas Jun Ashby,,,Quaker,APS,1865,1866
Catherine Backhouse,,,Quaker,APS,1851,1862
Jonathan Backhouse,,,Quaker,APS,1838,1852
Jonathan Backhouse,,,Quaker,HOD,,
S Baker,,,Quaker,APS,1839,1841
Robert Barclay,,,Quaker,APS,1838,1856
Richard Barrington,,,Quaker,APS,1864,1868
Edward Beck,,,Quaker,APS,1838,1860
Eliza Bell,,,Quaker,APS,1851,1868
Frederick J Bell,,,Quaker,APS,1851,1858
S S Bell,,,Quaker,APS,1857,1867
Samuel Bewley,,,Quaker,APS,1866,1868
x Biffin,,,Quaker,APS,1861,1862
J Binyon,,,Quaker,APS,1856,1858
E L Birkbeck,,,Quaker,APS,1866,1867
H Birkbeck,,,Quaker,APS,1860,1861
W Blaine,,,Quaker,APS,1861,1863
Elizabeth Bowley,,,Quaker,APS,1860,1868
Henry Brady,,,Quaker,APS,1866,1868
Charles L Braithwaite,,,Quaker,APS,1866,1867
L Braithwaite,,,Quaker,APS,1860,1861
Isaac Brown,,,Quaker,APS,1839,1868
Joshua Brown,,,Quaker,APS,1860,1868
Lydia Brown,,,Quaker,APS,1862,1868
Sarah Burgess,,,Quaker,APS,1866,1868
Thomas Burgess,,,Quaker,APS,1860,1862
W Catchpool,,,Quaker,APS,1855,1860
x Charleton,,,Quaker,APS,1860,1861
Samuel Clark,,,Quaker,APS,1839,1841
W Clemes,,,Quaker,APS,1853,1855
C Clothier,,,Quaker,APS,1860,1861
Joseph Cooper,,,Quaker,APS,1851,1868
George Crosfield,,,Quaker,APS,1838,1839
Joseph Crosland,,,Quaker,APS,1866,1868
A Crowley,,,Quaker,APS,1855,1864
A Dale,,,Quaker,APS,1861,1862
Elizabeth S Dawes,,,Quaker,APS,1867,1868
John Dodshon,,,Quaker,APS,1860,1868
Daniel Doncaster,,,Quaker,APS,1866,1868
Elizabeth Dyer,,,Quaker,APS,1860,1868
R Dymond,,,Quaker,APS,1862,1863
William Dyson,,,Quaker,APS,1864,1866
A Ellis,,,Quaker,APS,1860,1863
Thomas Evans,,,Quaker,APS,1860,1866
Ann Everett,,,Quaker,APS,1839,1862
Joseph Farden,,,Quaker,APS,1851,1867
John Fell,,,Quaker,APS,1852,1853
Mary Fell,,,Quaker,APS,1840,1841
S H Fisher,,,Quaker,APS,1855,1856
Caleb Fletcher,,,Quaker,APS,1854,1866
Martha Fletcher,,,Quaker,APS,1854,1856
John Ford,,,Quaker,APS,1854,1858
George Fox,,,Quaker,APS,1862,1868
Henry Fox,,,Quaker,APS,1862,1868
Robert Were Fox,,,Quaker,APS,1838,1868
x Fox,,,Quaker,APS,1861,1862
W Gayner,,,Quaker,APS,1855,1856
Joseph Gibbens,,,Quaker,APS,1860,1865
Ann Gibson,,,Quaker,APS,1860,1866
Francis Gibson,,,Quaker,APS,1840,1862
F  E Gibson,,,Quaker,APS,1860,1862
W G Gibson,,,Quaker,APS,1862,1863
W G Gibson,,,Quaker,HOD,,
T Gill,,,Quaker,APS,1861,1863
J Gillett,,,Quaker,APS,1863,1864
John Gillett,,,Quaker,APS,1860,1864
J Gilpin,,,Quaker,APS,1860,1863
James Gingell,,,Quaker,APS,1860,1863
John Good,,,Quaker,APS,1861,1868
Josiah Grace,,,Quaker,APS,1860,1862
Thomas Graham,,,Quaker,APS,1851,1859
John Green,,,Quaker,APS,1860,1864
T Gregory,,,Quaker,APS,1860,1863
G Grimshaw,,,Quaker,APS,1861,1863
x Hadfield,,,Quaker,APS,1864,1868
x Hadfield,,,Quaker,HOD,,
Isaac Hadwen,,,Quaker,APS,1852,1866
Robert Harding,,,Quaker,APS,1861,1868
Henry Harris,,,Quaker,APS,1861,1868
Lydia Harris,,,Quaker,APS,1840,1863
Thomas Harvey,,,Quaker,APS,1852,1868
Thomas Harvey,,,Quaker,HOD,,
George Head,,,Quaker,APS,1838,1866
Sarah Head,,,Quaker,APS,1859,1868
H Headley,,,Quaker,APS,1860,1861
W Hewitson,,,Quaker,APS,1860,1861
Charles Hicks,,,Quaker,APS,1862,1868
Elizabeth Hills,,,Quaker,APS,1863,1868
James Hills,,,Quaker,APS,1861,1862
John Hills,,,Quaker,APS,1853,1865
Gurney Hoare,,,Quaker,APS,1838,1841
Maria Hooper,,,Quaker,APS,1860,1863
J Hopkins,,,Quaker,APS,1839,1861
Rebecca Hopkins,,,Quaker,APS,1860,1868
Mary Horsnail,,,Quaker,APS,1851,1858
Elizabeth Howard (2),,,Quaker,APS,1860,1868
Elizabeth Howard,,,Quaker,APS,1851,1866
Thomas Hughes,,,Quaker,APS,1867,1868
Thomas Hughes,,,Quaker,HOD,,
Henry Hunt,,,Quaker,APS,1838,1862
T Hunt,,,Quaker,APS,1862,1863
J Hurnard,,,Quaker,APS,1860,1862
John C Isaac,,,Quaker,APS,1855,1868
John James,,,Quaker,APS,1860,1861
Charles Janson,,,Quaker,APS,1861,1867
